group	city	state	slug	lat	long	credit-overall	credit-non-white	credit-white	debt-percent	debt-amount	foreclosure	cost-burdened	eitc	unbanked	health-insured	health-uninsured	low-income	unemployment	labor-force-participation	gini	pop-change
5	Charlotte	 NC	charlotte-nc	35.227087	-80.843127	654	598	723.5	0.438412637	1820	0.004398827	0.69043386	0.35576418	0.073000002	0.815625906	0.184374094	0.353100479	0.073408276	0.713121176	0.496399999	0.529360533
5	Durham	 NC	durham-nc	35.994033	-78.898619	666	602	715.5	0.401041657	1158	0.002923977	0.665970206	0.319791913		0.806397676	0.193602324	0.366755962	0.054905292	0.703678071	0.47209999	0.377271622
5	Denver	 CO	denver-co	39.739236	-104.990251	675	605	714.5	0.362038016	1282	0.001930502	0.701722682	0.27290374	0.051999998	0.81833154	0.18166846	0.332868934	0.044856269	0.706777513	0.492700011	0.230617926
6	Las Vegas	 NV	las-vegas-nv	36.169941	-115.13983	644	573	702	0.452302486	1841	0.004482477	0.682356179	0.31975016	0.101000004	0.810807109	0.189192891	0.390140176	0.091676638	0.62838155	0.474400014	0.3037723
6	San Antonio	 TX	san-antonio-tx	29.424122	-98.493628	646	615	721	0.488200545	2173	0.002088046	0.615494072	0.386873752	0.113000002	0.79020524	0.20979476	0.411326081	0.060575157	0.633478045	0.463099986	0.284086078
6	Phoenix	 AZ	phoenix-az	33.448377	-112.074037	644	566	677	0.454590559	1843	0.001843318	0.654861152	0.361967087	0.106000004	0.796263933	0.203736067	0.44055301	0.062270127	0.646960616	0.489300013	0.183155
6	Little Rock	 AR	little-rock-ar	34.746481	-92.289595	638	560	697	0.414640516	1429	0.003773585	0.481336683	0.369061857	0.111999998	0.851061463	0.148938537	0.399908811	0.04825455	0.65355742	0.539300025	0.081104986
6	Tulsa	 OK	tulsa-ok	36.153982	-95.992775	640	552	677	0.454145551	1367	0.002214022	0.556123555	0.334352136	0.113000002	0.79219234	0.20780766	0.429142386	0.063779309	0.659062803	0.524100006	0.025548978
6	Houston	 TX	houston-tx	29.760427	-95.369803	642	600	735	0.468525261	1570.5	0.00223449	0.682531416	0.386168867	0.103999996	0.728838325	0.271161675	0.441579312	0.05900925	0.681023479	0.528599977	0.176592708
6	Dallas	 TX	dallas-tx	32.776664	-96.796988	626	561	717	0.511122763	1571	0.002517306	0.655085444	0.385813594	0.055	0.725117803	0.274882197	0.483487874	0.051853642	0.675079465	0.548699975	0.093811102
6	Miami	 FL	miami-fl	25.76168	-80.19179	660	652	**	0.370103836	1619	0.008720185	0.773652732	0.45312351	0.074000001	0.722188294	0.277811706	0.555657625	0.07298705	0.609708548	0.576200008	0.216622069
7	Fresno	 CA	fresno-ca	36.746842	-119.772587	633	587	708.5	0.451675475	1375.5	0.005067567	0.747918606	0.447192401		0.858806074	0.141193926	0.506846666	0.108778395	0.617366731	0.477699995	0.216110289
7	Lawrence	 MA	lawrence-ma	42.707035	-71.163114	593	581		0.535147369	858.5	0	0.780468225	0.488362819	0.025999999	0.90490967	0.09509033	0.521725297	0.081151366	0.637959063	0.450300008	0.113779269
7	San Bernardino	 CA	san-bernardino-ca	34.108345	-117.289765	588.5	586		0.537629128	1686.5	0.005464481	0.803401887	0.501583338	0.081999998	0.837955534	0.162044466	0.640248835	0.10709995	0.572669983	0.443399996	0.1657812
7	Rochester	 NY	rochester-ny	43.16103	-77.610922	675	552	723	0.35171026	1889	0.006811146	0.672362745	0.409313172	0.024000001	0.884844899	0.115155101	0.570249498	0.140279695	0.620753944	0.465700001	-0.04534224
7	Philadelphia	 PA	philadelphia-pa	39.952584	-75.165222	628	571	703	0.466074198	1476	0.004345603	0.680330515	0.415167689	0.040999999	0.856633544	0.143366456	0.460373372	0.109310374	0.604444921	0.504899979	0.032876678
7	Baltimore	 MD	baltimore-md	39.290385	-76.612189	623	576	671	0.465046078	1161	0.004589788	0.702327609	0.407413602	0.059000001	0.877862334	0.122137666	0.429410517	0.100740001	0.60083133	0.519200027	-0.045004714
8	Columbus	 GA	columbus-ga	32.460976	-84.987709	619	581	661	0.505982935	1704.5	0.003759399	0.639817894	0.456542552		0.835235059	0.164764941	0.433918446	0.108985208	0.602098346	0.497000009	
8	Jackson	 MS	jackson-ms	32.298757	-90.18481	586	557	648	0.529372692	1489	0.004807692	0.642043114	0.545628428	0.125	0.850037813	0.149962187	0.536562681	0.109127164	0.597580016	0.503199995	-0.072969131
8	Savannah	 GA	savannah-ga	32.083541	-81.099834	624	552	735	0.500861406	1961	0.003921569	0.80277288	0.443015814		0.767908037	0.232091963	0.524499714	0.098367848	0.632999837	0.497900009	0.107778877
8	New Orleans	 LA	new-orleans-la	29.951066	-90.071532	629	586	707	0.499602228	1408.5	0.00409836	0.714133322	0.455967605	0.173999996	0.842595696	0.157404304	0.435606778	0.08533673	0.638767183	0.563600004	-0.196125641
8	Shreveport	 LA	shreveport-la	32.525152	-93.750179	601	552	672.5	0.557334006	2194.5	0	0.397616476	0.462450147		0.824373484	0.175626516	0.46248576	0.053850334	0.569827676	0.506600022	-0.015743585
8	Columbia	 SC	columbia-sc	34.00071	-81.034814	640	602	675	0.480373472	2347	0.006055363	0.653374732	0.364335209	0.103999996	0.877420127	0.122579873	0.422245055	0.091912046	0.655466855	0.516499996	0.147190347
8	Baton Rouge	 LA	baton-rouge-la	30.458283	-91.14032	649	567	703	0.469077229	1867	0.004705882	0.634770036	0.4714275	0.143000002	0.844724894	0.155275106	0.460940838	0.08139196	0.648033619	0.504899979	0.003415007
8	New Haven	 CT	new-haven-ct	41.308274	-72.927884	618	586	683	0.479546368	1054	0.008438818	0.829766989	0.361870378	0.091999998	0.821872175	0.178127825	0.500192761	0.089386575	0.632613719	0.50880003	0.054066297
8	Birmingham	 AL	birmingham-al	33.520661	-86.80249	597	552	697	0.520476162	1112	0.000981354	0.633542299	0.485940605	0.123000002	0.823083162	0.176916838	0.53377074	0.10193485	0.608844221	0.482600003	-0.114936993
8	Cleveland	 OH	cleveland-oh	41.49932	-81.694361	626	552	676	0.498680472	1171.5	0.005035971	0.568051398	0.444320083	0.11	0.867613733	0.132386267	0.598601878	0.175217465	0.579780459	0.489100009	-0.188844964
9	Detroit	 MI	detroit-mi	42.331427	-83.045754	552	552	615	0.665993571	1773	0.012461059	0.638163984	0.525011241	0.08	0.857170761	0.142829239	0.656611681	0.205924258	0.529949248	0.517199993	-0.288189471
9	Newark	 NJ	newark-nj	40.735657	-74.172367	570	567		0.582568824	1196	0.024822695	0.800782263	0.469687164	0.088999996	0.773417771	0.226582229	0.559800506	0.151974842	0.610450208	0.502799988	0.030587178
